DATE,Day of Week,MALE,FEMALE,CHILDREN,TOTAL,TITHE,OFFERING,Amount,REMARK
01/05/2019,Wednesday,48,64,10,122,13600,27350,40950,bible study
03/05/2019,Friday,25,23,6,54,0,66290,66290,miracle service
05/05/2019,Sunday,162,177,0,339,628660,153815,782475,pnuema worship
08/05/2019,Wednesday,61,88,4,153,148500,3900,152400,bible study
10/05/2019,Friday,21,30,0,51,0,16600,16600,miracle service
12/05/2019,Sunday,205,205,0,410,801920,222880,1024800,pnuema worship
15/05/2019,Wednesday,69,81,9,159,119000,40280,159280,bible study
17/05/2019,Friday,40,35,4,79,12700,14730,27430,miracle service
19/05/2019,Sunday,209,218,0,427,990970,217550,1208520,pnuema worship
22/05/2019,Wednesday,66,83,14,163,207000,41090,248090,bible study
24/05/2019,Friday,0,0,0,0,0,0,0,suya night
26/05/2019,Sunday,0,0,0,0,0,0,0,combined service
29/05/2019,Wednesday,55,45,7,107,36600,19850,56450,bible study
31/05/2019,Friday,0,0,0,0,0,0,0,gospel night
02/06/2019,Sunday,189,215,0,404,919825,246540,1166365,pnuema worship
05/06/2019,Wednesday,0,0,0,0,0,0,0,evangelism
07/06/2019,Friday,22,21,0,43,300000,11400,311400,miracle service
09/06/2019,Sunday,208,215,0,423,771400,348620,1120020,pnuema worship
12/06/2019,Wednesday,47,72,16,135,1900,33770,35670,bible study
14/06/2019,Friday,22,20,0,42,0,17100,17100,miracle service
16/06/2019,Sunday,184,219,0,403,2022650,206535,2229185,pnuema worship
19/06/2019,Wednesday,66,83,0,149,25700,36990,62690,bible study
21/06/2019,Friday,19,24,0,43,0,9100,9100,miracle service
23/06/2019,Sunday,177,210,0,387,1076100,245575,1321675,pnuema worship
26/06/2019,Wednesday,71,73,0,144,10000,37020,47020,bible study
28/06/2019,Friday,0,0,0,0,0,0,0,gospel night
30/06/2019,Sunday,0,0,0,0,0,0,0,combined service
03/07/2019,Wednesday,61,67,17,145,32700,36080,68780,bible study
05/07/2019,Friday,16,18,0,34,2720,7260,9980,miracle service
07/07/2019,Sunday,158,159,0,317,1291890,223610,1515500,pnuema worship
10/07/2019,Wednesday,65,70,17,152,153650,33140,186790,bible study
12/07/2019,Friday,22,19,0,41,0,10120,10120,miracle service
14/07/2019,Sunday,207,226,0,433,820970,200040,1021010,pnuema worship
